Nazione,Continente,Popolazione
Angola,AFRICA,12127071
Benin,AFRICA,7862944
Botswana,AFRICA,1639833
Burkina_Faso,AFRICA,13902972
Burundi,AFRICA,8090068
Cameroon,AFRICA,17340702
Cape_Verde,AFRICA,420979
Central_African_Republic,AFRICA,4303356
Chad,AFRICA,9944201
Comoros,AFRICA,690948
Congo_Democratic_Republic,AFRICA,62660551
Congo,AFRICA,3702314
Coted'_Ivoire,AFRICA,17654843
Djibouti,AFRICA,486530
Equatorial_Guinea,AFRICA,540109
Eritrea,AFRICA,4786994
Ethiopia,AFRICA,74777981
Gabon,AFRICA,1424906
Gambia,AFRICA,1641564
Ghana,AFRICA,22409572
Guinea,AFRICA,9690222
Guinea-Bissau,AFRICA,1442029
Kenya,AFRICA,34707817
Lesotho,AFRICA,2022331
Liberia,AFRICA,3042004
Madagascar,AFRICA,18595469
Malawi,AFRICA,13013926
Mali,AFRICA,11716829
Mauritania,AFRICA,3177388
Mauritius,AFRICA,1240827
Mayotte,AFRICA,201234
Mozambique,AFRICA,19686505
Namibia,AFRICA,2044147
Niger,AFRICA,12525094
Nigeria,AFRICA,131859731
Reunion,AFRICA,787584
Rwanda,AFRICA,8648248
Saint_Helena,AFRICA,7502
Sao_Tome_&_Principe,AFRICA,193413
Senegal,AFRICA,11987121
Seychelles,AFRICA,81541
Sierra_Leone,AFRICA,6005250
Somalia,AFRICA,8863338
SouthAfrica,AFRICA,44187637
Sudan,AFRICA,41236378
Swaziland,AFRICA,1136334
Tanzania,AFRICA,37445392
Togo,AFRICA,5548702
Uganda,AFRICA,28195754
Zambia,AFRICA,11502010
Zimbabwe,AFRICA,12236805
Algeria,AFRICA,32930091
Egypt,AFRICA,78887007
Libya,AFRICA,5900754
Morocco,AFRICA,33241259
Tunisia,AFRICA,10175014
Western_Sahara,AFRICA,273008
Afghanistan,ASIA,31056997
Bangladesh,ASIA,147365352
Bhutan,ASIA,2279723
Brunei,ASIA,379444
Burma,ASIA,47382633
Cambodia,ASIA,13881427
China,ASIA,1313973713
East_Timor,ASIA,1062777
Hong_Kong,ASIA,6940432
India,ASIA,1095351995
Indonesia,ASIA,245452739
Iran,ASIA,68688433
Japan,ASIA,127463611
North_Korea,ASIA,23113019
South_Korea,ASIA,48846823
Laos,ASIA,6368481
Macau,ASIA,453125
Malaysia,ASIA,24385858
Maldives,ASIA,359008
Mongolia,ASIA,2832224
Nepal,ASIA,28287147
Pakistan,ASIA,165803560
Philippines,ASIA,89468677
Singapore,ASIA,4492150
Sri_Lanka,ASIA,20222240
Taiwan,ASIA,23036087
Thailand,ASIA,64631595
Vietnam,ASIA,84402966
Kazakhstan,ASIA,15233244
Kyrgyzstan,ASIA,5213898
Tajikistan,ASIA,7320815
Turkmenistan,ASIA,5042920
Uzbekistan,ASIA,27307134
Estonia,EUROPE,1324333
Latvia,EUROPE,2274735
Lithuania,EUROPE,3585906
Armenia,EUROPE,2976372
Azerbaijan,EUROPE,7961619
Belarus,EUROPE,10293011
Georgia,EUROPE,4661473
Moldova,EUROPE,4466706
Russia,EUROPE,142893540
Ukraine,EUROPE,46710816
Andorra,EUROPE,71201
Austria,EUROPE,8192880
Belgium,EUROPE,10379067
Denmark,EUROPE,5450661
Faroe_Islands,EUROPE,47246
Finland,EUROPE,5231372
France,EUROPE,60876136
Germany,EUROPE,82422299
Gibraltar,EUROPE,27928
Greece,EUROPE,10688058
Guernsey,EUROPE,65409
Iceland,EUROPE,299388
Ireland,EUROPE,4062235
Isle_of_Man,EUROPE,75441
Italy,EUROPE,58133509
Jersey,EUROPE,91084
Liechtenstein,EUROPE,33987
Luxembourg,EUROPE,474413
Malta,EUROPE,400214
Monaco,EUROPE,32543
Netherlands,EUROPE,16491461
Norway,EUROPE,4610820
Portugal,EUROPE,10605870
San_Marino,EUROPE,29251
Spain,EUROPE,40397842
Sweden,EUROPE,9016596
Switzerland,EUROPE,7523934
United_Kingdom,EUROPE,60609153
UK,EUROPE,60609153
Albania,EUROPE,3581655
Bosnia_&_Herzegovina,EUROPE,4498976
Bulgaria,EUROPE,7385367
Croatia,EUROPE,4494749
Czech_Republic,EUROPE,10235455
Hungary,EUROPE,9981334
Macedonia,EUROPE,2050554
Poland,EUROPE,38536869
Romania,EUROPE,22303552
Serbia,EUROPE,9396411
Slovakia,EUROPE,5439448
Slovenia,EUROPE,2010347
Anguilla,LATIN,13477
Antigua_&_Barbuda,LATIN,69108
Argentina,LATIN,39921833
Aruba,LATIN,71891
Bahamas,LATIN,303770
Barbados,LATIN,279912
Belize,LATIN,287730
Bolivia,LATIN,8989046
Brazil,LATIN,188078227
British_Virgin_Island,LATIN,23098
Cayman_Islands,LATIN,45436
Chile,LATIN,16134219
Colombia,LATIN,43593035
Costa_Rica,LATIN,4075261
Cuba,LATIN,11382820
Dominica,LATIN,68910
Dominican_Republic,LATIN,9183984
Ecuador,LATIN,13547510
El_Salvador,LATIN,6822378
French_Guiana,LATIN,199509
Grenada,LATIN,89703
Guadeloupe,LATIN,452776
Guatemala,LATIN,12293545
Guyana,LATIN,767245
Haiti,LATIN,8308504
Honduras,LATIN,7326496
Jamaica,LATIN,2758124
Martinique,LATIN,436131
Mexico,LATIN,107449525
Montserrat,LATIN,9439
Netherlands_Antilles,LATIN,221736
Nicaragua,LATIN,5570129
Panama,LATIN,3191319
Paraguay,LATIN,6506464
Peru,LATIN,28302603
Puerto_Rico,LATIN,3927188
Saint_Kitts_&_Nevis,LATIN,39129
Saint_Lucia,LATIN,168458
Saint_Vincent_and_the_Grenadines,LATIN,117848
Suriname,LATIN,439117
Trinidad_&_Tobago,LATIN,1065842
Turks_&_CaicosIs,LATIN,21152
Uruguay,LATIN,3431932
Venezuela,LATIN,25730435
VirginIslands,LATIN,108605
Bahrain,ASIA,698585
Cyprus,ASIA,784301
GazaStrip,ASIA,1428757
Iraq,ASIA,26783383
Palestine,ASIA
Israel,ASIA,6352117
Jordan,ASIA,5906760
Kuwait,ASIA,2418393
Lebanon,ASIA,3874050
Oman,ASIA,3102229
Qatar,ASIA,885359
Saudi_Arabia,ASIA,27019731
Syria,ASIA,18881361
Turkey,ASIA,70413958
United_Arab_Emirates,ASIA,2602713
West_Bank,ASIA,2460492
Yemen,ASIA,21456188
Bermuda,NORTHERN_AMERICA,65773
Canada,NORTHERN_AMERICA,33098932
Greenland,NORTHERN_AMERICA,56361
St_Pierre_&_Miquelon,NORTHERN_AMERICA,7026
United_States,NORTHERN_AMERICA,298444215
USA,NORTHERN_AMERICA,298444215
American_Samoa,OCEANIA,57794
Australia,OCEANIA,20264082
Cook_Islands,OCEANIA,21388
Fiji,OCEANIA,905949
French_Polynesia,OCEANIA,274578
Guam,OCEANIA,171019
Kiribati,OCEANIA,105432
Marshall_Islands,OCEANIA,60422
Micronesia,OCEANIA,108004
Nauru,OCEANIA,13287
New_Caledonia,OCEANIA,219246
New_Zealand,OCEANIA,4076140
Northern_Mariana_Islands,OCEANIA,82459
Palau,OCEANIA,20579
Papua_New_Guinea,OCEANIA,5670544
Samoa,OCEANIA,176908
Solomon_Islands,OCEANIA,552438
Tonga,OCEANIA,114689
Tuvalu,OCEANIA,11810
Vanuatu,OCEANIA,208869
Wallis_and_Futuna,OCEANIA,16025
